# oslo-screener report=report_2026-02-18T0715Z.csv data_fetch_started=2026-02-18T07:15:25Z data_fetch_completed=2026-02-18T07:15:45Z generated_at=2026-02-18T07:15:45Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
SOAG.OL,2026-02-17,450.0,54.2,4.38,1.0198,447.494,0.56,23.91,93.86,57.06,NEUTRAL,0,3.0,0.0,MODERATE
YAR.OL,2026-02-17,445.0,54.33,-0.8,-1.9876,420.728,5.77,25.81,49.63,38.15,NEUTRAL,0,3.0,0.0,MODERATE
EQNR.OL,2026-02-17,259.3,54.51,-5.44,-0.1019,245.1711,5.76,30.41,60.94,41.89,NEUTRAL,0,5.0,0.0,HIGH
SCATC.OL,2026-02-17,116.0,54.79,0.0,-0.5371,110.636,4.85,30.0,48.68,50.53,NEUTRAL,0,3.0,0.0,MODERATE
MOWI.OL,2026-02-17,228.8,54.96,2.31,1.0134,229.972,-0.51,16.91,70.88,62.89,NEUTRAL,0,1.75,0.0,LOW
MORG.OL,2026-02-17,113.56,55.8,1.38,0.1853,110.54,2.73,12.54,46.93,57.9,NEUTRAL,0,1.75,0.0,LOW
ENTRA.OL,2026-02-17,115.0,56.48,1.36,0.1486,112.704,2.04,12.2,56.48,61.22,NEUTRAL,0,1.75,0.0,LOW
EIOF.OL,2026-02-17,13.2,57.34,3.97,0.0043,12.725,3.73,20.18,74.41,58.87,NEUTRAL,0,3.0,0.0,MODERATE
IOX.OL,2026-02-17,1.042,57.46,1.59,0.0157,0.9169,13.64,39.86,89.85,63.77,NEUTRAL,0,5.0,0.0,HIGH
SBO.OL,2026-02-17,35.35,57.47,2.73,0.1539,35.07,0.8,20.0,47.4,67.22,NEUTRAL,0,3.0,0.0,MODERATE
HAVI.OL,2026-02-17,1.045,57.61,6.51,0.004,0.9556,9.35,16.73,63.34,65.26,NEUTRAL,0,1.75,0.0,LOW
GYL.OL,2026-02-17,472.0,58.38,0.0,0.5734,457.08,3.26,21.12,26.68,73.59,NEUTRAL,0,3.0,0.0,MODERATE
LSG.OL,2026-02-17,49.04,58.44,0.55,0.1863,48.1562,1.84,12.42,83.46,66.92,NEUTRAL,0,1.75,0.0,LOW
SKUE.OL,2026-02-17,349.0,58.86,6.76,0.5356,339.828,2.7,15.53,79.42,65.08,NEUTRAL,0,1.75,0.0,LOW
STB.OL,2026-02-17,176.2,58.99,0.75,0.2888,169.818,3.76,22.39,50.5,58.65,NEUTRAL,0,3.0,0.0,MODERATE
NONG.OL,2026-02-17,153.7,61.15,-1.62,0.5841,148.5732,3.45,14.7,70.23,67.56,NEUTRAL,0,1.75,0.0,LOW
SATS.OL,2026-02-17,42.35,61.63,-5.23,0.2632,40.186,5.38,24.83,64.66,63.06,NEUTRAL,0,3.0,0.0,MODERATE
AUSS.OL,2026-02-17,95.7,61.72,1.69,0.2869,93.24,2.64,13.54,75.95,77.18,NEUTRAL,0,1.75,0.0,LOW
ININ.OL,2026-02-17,3.23,61.95,0.0,0.0128,3.0292,6.63,10.16,34.13,72.91,NEUTRAL,0,1.75,0.0,LOW
NAS.OL,2026-02-17,17.62,62.45,0.59,0.1422,16.7999,4.88,14.65,50.98,71.79,NEUTRAL,0,1.75,0.0,LOW
BWLPG.OL,2026-02-17,158.7,62.52,-10.09,0.3228,139.0851,14.1,39.89,71.13,56.23,NEUTRAL,0,5.0,0.0,HIGH
AKVA.OL,2026-02-17,95.6,62.61,1.57,0.845,88.104,8.51,30.07,89.1,64.19,NEUTRAL,0,5.0,0.0,HIGH
ROGS.OL,2026-02-17,146.8,63.07,-1.94,0.6329,141.2308,3.94,14.36,81.67,68.3,NEUTRAL,0,1.75,0.0,LOW
SDSD.OL,2026-02-17,1.9,63.13,0.0,0.0018,1.8651,1.87,24.12,29.3,73.31,NEUTRAL,0,3.0,0.0,MODERATE
SPOG.OL,2026-02-17,81.5,64.08,2.82,0.1571,77.9218,4.59,16.65,64.53,72.22,NEUTRAL,0,1.75,0.0,LOW
OLT.OL,2026-02-10,335.0,64.2,0.0,-0.2804,334.0,0.3,76.44,66.88,63.39,NEUTRAL,0,5.0,0.0,HIGH
