# oslo-screener report=report_2025-12-31T0650Z.csv data_fetch_started=2025-12-31T06:49:35Z data_fetch_completed=2025-12-31T06:50:10Z generated_at=2025-12-31T06:50:10Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
AMSC.OL,2025-12-30,1.476,43.64,-0.0,0.0001,1.476,-0.0,14.16,,41.3,NEUTRAL,0.0,1.75,0.0,LOW,
HUNT.OL,2025-12-30,1.774,45.34,0.57,-0.071,1.6025,10.7,44.73,43.83,27.13,NEUTRAL,0.0,5.0,0.0,HIGH,
AKVA.OL,2025-12-30,88.8,45.89,-0.62,0.0499,90.6705,-2.06,16.9,27.44,40.3,NEUTRAL,0.0,1.75,0.0,LOW,
VENDB.OL,2025-12-30,280.0,48.31,1.7,1.8629,298.728,-6.27,28.63,52.8,63.93,NEUTRAL,0.0,3.0,0.0,MODERATE,
JIN.OL,2025-12-30,5.86,49.95,7.75,-0.0072,5.8692,-0.16,8.63,42.04,54.27,NEUTRAL,0.0,1.75,0.0,LOW,
ODFB.OL,2025-12-30,121.2,50.2,-0.57,-0.3225,120.068,0.94,19.27,48.41,54.13,NEUTRAL,0.0,1.75,0.0,LOW,
ZAL.OL,2025-12-30,88.6,50.2,0.82,-0.2466,88.736,-0.15,18.66,42.15,50.61,NEUTRAL,0.0,1.75,0.0,LOW,
NOD.OL,2025-12-30,133.3,50.58,2.38,0.797,139.378,-4.36,25.99,51.03,68.97,NEUTRAL,0.0,3.0,0.0,MODERATE,
ENH.OL,2025-12-30,8.18,51.11,1.69,-0.0202,8.1,0.99,15.07,14.38,56.05,NEUTRAL,0.0,1.75,0.0,LOW,
GENT.OL,2025-12-30,56.4,51.83,4.0,-0.0979,55.436,1.74,18.35,37.97,50.25,NEUTRAL,0.0,1.75,0.0,LOW,
SOGN.OL,2025-12-30,277.0,51.83,-9.48,-0.3172,268.428,3.19,24.57,29.96,44.19,NEUTRAL,0.0,3.0,0.0,MODERATE,
AFK.OL,2025-12-30,135.0,52.16,-6.08,0.1621,133.38,1.21,10.17,70.57,50.89,NEUTRAL,0.0,1.75,0.0,LOW,
GOD.OL,2025-12-30,9.78,52.48,-6.98,-0.0054,9.3062,5.09,29.03,48.54,37.78,NEUTRAL,0.0,3.0,0.0,MODERATE,
HEX.OL,2025-12-30,7.74,52.83,0.87,0.0847,7.7634,-0.3,21.34,65.23,58.68,NEUTRAL,0.0,3.0,0.0,MODERATE,
SDSD.OL,2025-12-30,1.86,53.4,0.0,0.0009,1.8429,0.93,19.03,88.19,56.13,NEUTRAL,0.0,1.75,0.0,LOW,
SOFF.OL,2025-12-30,43.3,53.61,2.77,0.187,42.7511,1.28,19.91,36.08,61.44,NEUTRAL,0.0,1.75,0.0,LOW,
KOA.OL,2025-12-30,2.075,53.62,2.65,-0.0303,1.8713,10.89,32.24,43.53,46.46,NEUTRAL,0.0,5.0,0.0,HIGH,
TEL.OL,2025-12-30,146.7,53.62,1.91,0.5296,148.966,-1.52,23.47,49.0,68.97,NEUTRAL,0.0,3.0,0.0,MODERATE,
WSTEP.OL,2025-12-30,18.5,53.62,1.56,0.1643,18.628,-0.69,23.7,90.59,59.37,NEUTRAL,0.0,3.0,0.0,MODERATE,
EIOF.OL,2025-12-30,12.65,53.63,-1.18,0.0313,12.529,0.97,29.0,60.33,60.69,NEUTRAL,0.0,3.0,0.0,MODERATE,
ODF.OL,2025-12-30,127.0,53.98,1.42,-0.3288,123.644,2.71,18.03,54.13,60.57,NEUTRAL,0.0,1.75,0.0,LOW,
NAPA.OL,2025-12-30,30.8,54.22,0.82,-0.2132,29.46,4.55,12.76,37.74,54.73,NEUTRAL,0.0,1.75,0.0,LOW,
CLCO.OL,2025-12-30,99.0,54.27,-3.24,-0.0645,98.186,0.83,34.88,44.12,50.33,NEUTRAL,0.0,5.0,0.0,HIGH,
MEDI.OL,2025-12-30,259.0,54.29,3.28,0.7666,252.78,2.46,24.14,38.53,56.73,NEUTRAL,0.0,3.0,0.0,MODERATE,
QEC.OL,2025-12-30,2.28,54.54,1.94,0.0078,2.236,1.97,22.05,61.6,56.87,NEUTRAL,0.0,3.0,0.0,MODERATE,
AKSO.OL,2025-12-30,30.92,54.67,3.28,-0.0412,30.0436,2.92,20.53,38.09,62.53,NEUTRAL,0.0,3.0,0.0,MODERATE,
POL.OL,2025-12-30,54.5,54.99,7.05,0.1585,51.358,6.12,23.94,84.33,53.63,NEUTRAL,0.0,3.0,0.0,MODERATE,
PEN.OL,2025-12-30,20.2,55.05,6.91,0.0378,19.9868,1.07,12.56,48.99,67.31,NEUTRAL,0.0,1.75,0.0,LOW,
HSHP.OL,2025-12-30,91.9,55.08,3.69,-0.713,86.0636,6.78,25.25,29.24,58.31,NEUTRAL,0.0,3.0,0.0,MODERATE,
SOAG.OL,2025-12-30,453.3,55.1,0.34,-0.4674,441.9878,2.56,10.22,22.57,48.86,NEUTRAL,0.0,1.75,0.0,LOW,
EQNR.OL,2025-12-30,237.0,55.45,2.8,0.6917,235.9946,0.43,23.57,47.25,68.75,NEUTRAL,0.0,3.0,0.0,MODERATE,
KID.OL,2025-12-30,135.4,55.6,1.7,0.2779,134.3229,0.8,28.78,31.86,69.56,NEUTRAL,0.0,3.0,0.0,MODERATE,
TIETO.OL,2025-12-30,217.2,55.89,3.89,-0.6464,211.474,2.71,25.87,78.69,56.12,NEUTRAL,0.0,3.0,0.0,MODERATE,
KOG.OL,2025-12-30,258.6,55.93,-0.3,2.0807,255.699,1.13,18.37,74.2,63.67,NEUTRAL,0.0,1.75,0.0,LOW,
PRS.OL,2025-12-30,3.75,57.39,3.93,-0.0183,3.3849,10.79,34.78,38.7,59.93,NEUTRAL,0.0,5.0,0.0,HIGH,
BMA.OL,2025-12-30,14.7,57.48,9.28,0.0409,14.186,3.62,14.01,67.88,69.36,NEUTRAL,0.0,1.75,0.0,LOW,
DOFG.OL,2025-12-30,95.25,57.48,3.43,0.0763,92.1578,3.36,12.4,26.95,69.97,NEUTRAL,0.0,1.75,0.0,LOW,
AKER.OL,2025-12-30,768.0,57.84,6.1,2.209,762.5978,0.71,25.08,36.59,76.57,NEUTRAL,0.0,3.0,0.0,MODERATE,
HELG.OL,2025-12-30,183.0,57.94,3.95,0.3246,175.1636,4.47,9.96,31.28,63.36,NEUTRAL,0.0,1.75,0.0,LOW,
TOM.OL,2025-12-30,136.0,57.98,1.07,0.0194,127.184,6.93,17.04,53.33,61.89,NEUTRAL,0.0,1.75,0.0,LOW,
NAS.OL,2025-12-30,17.45,58.31,0.33,-0.0615,16.3929,6.45,30.91,61.78,55.66,NEUTRAL,0.0,5.0,0.0,HIGH,
BWLPG.OL,2025-12-30,132.0,58.78,3.28,1.0757,127.9084,3.2,11.3,56.33,73.63,NEUTRAL,0.0,1.75,0.0,LOW,
VOW.OL,2025-12-30,2.79,59.24,-1.11,-0.0538,2.0595,35.47,31.04,35.14,56.17,NEUTRAL,0.0,5.0,0.0,HIGH,
NORCO.OL,2025-12-30,45.9,59.33,1.59,0.2728,45.645,0.56,15.76,48.11,77.94,NEUTRAL,0.0,1.75,0.0,LOW,
MULTI.OL,2025-12-30,177.0,59.66,-6.75,1.1255,167.05,5.96,40.44,84.9,55.38,NEUTRAL,0.0,5.0,0.0,HIGH,
ABG.OL,2025-12-30,8.23,59.7,2.3,-0.0247,7.6234,7.96,31.96,53.69,54.26,NEUTRAL,0.0,5.0,0.0,HIGH,
SALM.OL,2025-12-30,617.5,60.31,2.27,-0.0456,592.14,4.28,28.73,60.58,60.36,NEUTRAL,0.0,3.0,0.0,MODERATE,
SATS.OL,2025-12-30,40.6,60.31,4.92,-0.0636,38.581,5.23,27.77,58.13,58.09,NEUTRAL,0.0,3.0,0.0,MODERATE,
ATEA.OL,2025-12-30,157.8,60.5,1.92,-0.4312,150.2069,5.06,34.29,43.07,53.36,NEUTRAL,0.0,5.0,0.0,HIGH,
SUBC.OL,2025-12-30,203.2,60.56,2.79,0.5514,191.3997,6.17,18.68,46.92,63.21,NEUTRAL,0.0,1.75,0.0,LOW,
SWON.OL,2025-12-30,115.92,60.64,2.85,0.2376,106.1672,9.19,23.07,60.15,68.34,NEUTRAL,0.0,3.0,0.0,MODERATE,
PSE.OL,2025-12-30,4.85,60.99,12.23,0.0131,4.6662,3.94,42.96,70.77,75.53,NEUTRAL,0.0,5.0,0.0,HIGH,
VAR.OL,2025-12-30,33.0,61.06,6.28,0.1186,32.2229,2.41,19.09,52.14,78.86,NEUTRAL,0.0,1.75,0.0,LOW,
ININ.OL,2025-12-30,3.16,61.63,1.04,0.013,2.8426,11.17,14.3,86.74,71.81,NEUTRAL,0.0,1.75,0.0,LOW,
WAWI.OL,2025-12-30,101.0,61.72,1.28,-0.7309,89.55,12.79,41.43,64.81,57.25,NEUTRAL,0.0,5.0,0.0,HIGH,
