ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
GJF.OL,2025-11-28,283.2,59.73,1.73,1.0203,280.2,1.07,21.38,33.48,74.35,NEUTRAL,0,3.0,0.0,MODERATE
SOGN.OL,2025-11-28,275.75,59.97,1.3,0.6387,259.232,6.37,34.38,70.64,62.41,NEUTRAL,0,5.0,0.0,HIGH
ROGS.OL,2025-11-28,140.8,60.21,1.07,0.7093,139.6188,0.85,17.59,92.72,79.15,NEUTRAL,0,1.75,0.0,LOW
SOAG.OL,2025-11-28,462.95,61.02,-3.45,2.5754,442.264,4.68,19.45,85.58,66.22,NEUTRAL,0,1.75,0.0,LOW
ELK.OL,2025-11-28,27.6,61.28,-1.41,0.1594,26.75,3.18,14.36,68.16,72.7,NEUTRAL,0,1.75,0.0,LOW
SKUE.OL,2025-11-28,324.45,61.49,0.13,1.2539,317.877,2.07,13.85,86.39,71.48,NEUTRAL,0,1.75,0.0,LOW
SWON.OL,2025-11-28,112.98,61.63,9.77,0.7837,103.5156,9.14,22.85,88.86,68.39,NEUTRAL,0,3.0,0.0,MODERATE
GSF.OL,2025-11-28,72.0,61.71,0.32,0.5047,69.173,4.09,20.05,63.46,74.22,NEUTRAL,0,3.0,0.0,MODERATE
2020.OL,2025-11-28,143.6,61.79,1.44,0.3374,138.445,3.72,16.65,59.57,69.47,NEUTRAL,0,1.75,0.0,LOW
ORK.OL,2025-11-28,108.3,62.01,0.61,0.5638,104.468,3.67,30.09,82.68,72.01,NEUTRAL,0,5.0,0.0,HIGH
ODL.OL,2025-11-28,83.7,62.1,0.51,0.3253,78.3575,6.82,26.53,62.53,65.41,NEUTRAL,0,3.0,0.0,MODERATE
AFG.OL,2025-11-28,181.2,62.64,-1.39,0.92,168.2682,7.69,25.52,79.54,64.5,NEUTRAL,0,3.0,0.0,MODERATE
ODF.OL,2025-11-28,128.4,62.89,2.39,0.2138,120.864,6.24,27.54,74.45,68.24,NEUTRAL,0,3.0,0.0,MODERATE
SPOG.OL,2025-11-28,73.72,63.18,2.4,0.391,72.3764,1.86,31.77,79.58,81.73,NEUTRAL,0,5.0,0.0,HIGH
WWIB.OL,2025-11-28,506.0,63.34,1.03,2.1529,479.84,5.45,23.72,67.08,70.31,NEUTRAL,0,3.0,0.0,MODERATE
AURG.OL,2025-11-28,255.0,63.98,3.95,0.4522,243.606,4.68,11.1,55.59,71.2,NEUTRAL,0,1.75,0.0,LOW
SBO.OL,2025-11-28,34.75,63.98,1.3,0.2598,33.907,2.49,31.25,91.3,80.31,NEUTRAL,0,5.0,0.0,HIGH
TRE.OL,2025-11-28,39.5,64.51,11.03,0.3859,34.6558,13.98,18.2,99.97,75.03,NEUTRAL,0,1.75,0.0,LOW
CLCO.OL,2025-11-28,99.4,64.88,2.36,-0.2017,95.996,3.55,17.2,30.61,60.92,NEUTRAL,0,1.75,0.0,LOW
